ano;egresos_total;egresos_sm;tasa_sm_x10mil;F0;F1;F2;F3;F4;F5;F6;F7;F8;F9
2001;1566188;26969;172.195;1431;7420;5286;7060;2961;383;1437;596;120;275
2002;1599076;27786;173.763;1442;6875;5327;7845;3092;385;1863;466;198;293
2003;1599280;29525;184.614;1473;7481;5263;8591;3313;373;1984;513;188;346
2004;1627748;30112;184.992;1389;7564;5058;9032;3620;364;2102;486;149;348
2005;1627743;29353;180.329;1270;7958;4711;8480;3451;311;2261;424;169;318
2006;1637920;31510;192.378;1322;7726;4823;9887;3578;328;2238;496;666;446
2007;1632888;31730;194.318;1370;7359;4952;10540;3569;361;2102;454;553;470
2008;1608540;29874;185.721;1247;7111;4809;9425;3352;362;2126;477;541;424
2009;1682054;32027;190.404;1290;7341;5056;10603;3678;389;2323;492;327;528
2010;1623875;28249;173.96;1225;6414;4627;9235;3198;400;2117;498;164;371
2011;1648687;29393;178.281;1377;6733;5075;8705;3546;362;2276;628;257;434
2012;1670447;28485;170.523;1373;6504;5455;7811;3485;327;2326;623;213;368
2013;1676936;27079;161.479;1459;6524;4704;7566;3408;356;1889;463;245;465
2014;1660151;27769;167.268;1547;6523;5048;7516;3305;373;2265;517;243;432
2015;1671054;27908;167.008;1674;6588;5183;7367;3282;399;2211;547;258;399
2016;1637265;26949;164.598;1717;6319;5047;7113;2967;362;2099;502;315;508
2017;1637150;28703;175.323;1810;6144;5446;8064;3100;339;2429;480;351;540
2018;1669602;31253;187.188;1822;6463;5377;9258;3468;376;2949;481;364;695
2019;1667180;32695;196.11;1977;6572;5288;9850;3551;635;3028;428;465;901
2020;1330477;26299;197.666;1777;4726;4643;7960;2754;518;2578;287;345;711
2021;1467062;29446;200.714;1857;4884;5024;9122;3262;639;3176;344;395;743
2022;1597118;34798;217.88;2001;5366;5442;11369;4018;706;3975;363;600;958
2023;1612267;39874;247.316;2187;6014;6048;12941;5226;651;4633;338;711;1125
2024;1667349;43005;257.924;2378;5913;6578;14383;5716;671;4972;406;849;1139
2025;1705514;45372;266.031;2553;6596;6635;14827;6299;672;4988;444;1129;1229
